date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2012-07-31,000030,15158253568.0,1381.01,1343664000.0,0,1396.92,1380.32,1392.28,0,151121.0,151121.0
2012-08-01,000030,16489409536.0,1399.97,1343750400.0,0,1409.77,1379.86,1380.04,0,157360.0,157360.0
2012-08-02,000030,14927876096.0,1384.98,1343836800.0,0,1401.62,1378.72,1397.48,0,151100.0,151100.0
2012-08-03,000030,15823835136.0,1403.01,1343923200.0,0,1403.12,1382.66,1389.07,0,153157.0,153157.0
2012-08-06,000030,25174923264.0,1432.57,1344182400.0,0,1433.44,1399.36,1401.15,0,239142.0,239142.0
2012-08-07,000030,23573168128.0,1440.75,1344268800.0,0,1441.43,1430.19,1430.95,0,225303.0,225303.0
2012-08-08,000030,23799324672.0,1437.7,1344355200.0,0,1452.34,1433.68,1442.2,0,212492.0,212492.0
2012-08-09,000030,24888846336.0,1457.2,1344441600.0,0,1458.31,1432.19,1437.58,0,206147.0,206147.0
2012-08-10,000030,23869429760.0,1442.48,1344528000.0,0,1452.99,1439.32,1451.71,0,196411.0,196411.0
2012-08-13,000030,24332369920.0,1417.37,1344787200.0,0,1438.26,1416.72,1438.26,0,235807.0,235807.0
2012-08-14,000030,22338822144.0,1421.37,1344873600.0,0,1421.92,1395.79,1417.49,0,203176.0,203176.0
2012-08-15,000030,15593085952.0,1401.24,1344960000.0,0,1416.33,1400.04,1416.33,0,150701.0,150701.0
2012-08-16,000030,13627955200.0,1390.28,1345046400.0,0,1405.39,1387.94,1398.2,0,124970.0,124970.0
